entity_id,state,last_changed
sensor.felix_weather_luftfeuchtigkeit,40.8,2025-01-21T23:00:00.000Z
sensor.felix_weather_luftfeuchtigkeit,41.2,2025-01-21T23:01:30.095Z
sensor.felix_weather_luftfeuchtigkeit,41.1,2025-01-21T23:37:49.316Z
sensor.felix_weather_luftfeuchtigkeit,41.4,2025-01-21T23:58:35.086Z
sensor.felix_weather_luftfeuchtigkeit,41.6,2025-01-22T00:29:52.861Z
sensor.felix_weather_luftfeuchtigkeit,41.5,2025-01-22T00:36:05.053Z
sensor.felix_weather_luftfeuchtigkeit,42.9,2025-01-22T00:55:09.901Z
sensor.felix_weather_luftfeuchtigkeit,43.0,2025-01-22T01:22:56.870Z
sensor.felix_weather_luftfeuchtigkeit,42.0,2025-01-22T02:04:27.744Z
sensor.felix_weather_luftfeuchtigkeit,41.8,2025-01-22T02:17:31.198Z
sensor.felix_weather_luftfeuchtigkeit,41.6,2025-01-22T02:29:34.868Z
sensor.felix_weather_luftfeuchtigkeit,41.4,2025-01-22T02:52:01.073Z
sensor.felix_weather_luftfeuchtigkeit,41.3,2025-01-22T02:57:42.722Z
sensor.felix_weather_luftfeuchtigkeit,41.4,2025-01-22T03:01:43.941Z
sensor.felix_weather_luftfeuchtigkeit,41.3,2025-01-22T03:05:55.187Z
sensor.felix_weather_luftfeuchtigkeit,41.2,2025-01-22T03:16:07.888Z
sensor.felix_weather_luftfeuchtigkeit,41.4,2025-01-22T04:07:01.536Z
sensor.felix_weather_luftfeuchtigkeit,41.2,2025-01-22T04:15:04.223Z
sensor.felix_weather_luftfeuchtigkeit,41.1,2025-01-22T04:31:18.407Z
sensor.felix_weather_luftfeuchtigkeit,40.9,2025-01-22T05:04:16.790Z
sensor.felix_weather_luftfeuchtigkeit,41.3,2025-01-22T05:18:20.998Z
sensor.felix_weather_luftfeuchtigkeit,41.2,2025-01-22T05:19:21.473Z
sensor.felix_weather_luftfeuchtigkeit,41.1,2025-01-22T05:26:53.536Z
sensor.felix_weather_luftfeuchtigkeit,40.9,2025-01-22T05:30:04.549Z
sensor.felix_weather_luftfeuchtigkeit,40.5,2025-01-22T05:52:30.189Z
sensor.felix_weather_luftfeuchtigkeit,40.7,2025-01-22T06:06:34.549Z
sensor.felix_weather_luftfeuchtigkeit,40.8,2025-01-22T06:17:37.440Z
sensor.felix_weather_luftfeuchtigkeit,40.5,2025-01-22T06:59:17.743Z
sensor.felix_weather_luftfeuchtigkeit,40.4,2025-01-22T07:15:12.244Z
sensor.felix_weather_luftfeuchtigkeit,40.6,2025-01-22T07:36:17.567Z
sensor.felix_weather_luftfeuchtigkeit,40.5,2025-01-22T07:38:48.383Z
sensor.felix_weather_luftfeuchtigkeit,40.8,2025-01-22T07:50:31.461Z
sensor.felix_weather_luftfeuchtigkeit,40.9,2025-01-22T08:16:58.705Z
sensor.felix_weather_luftfeuchtigkeit,40.8,2025-01-22T08:53:08.372Z
sensor.felix_weather_luftfeuchtigkeit,40.9,2025-01-22T09:14:53.985Z
sensor.felix_weather_luftfeuchtigkeit,40.5,2025-01-22T09:42:20.982Z
sensor.felix_weather_luftfeuchtigkeit,39.6,2025-01-22T09:48:13.099Z
sensor.felix_weather_luftfeuchtigkeit,39.5,2025-01-22T10:32:33.839Z
sensor.felix_weather_luftfeuchtigkeit,38.2,2025-01-22T10:58:30.886Z
sensor.felix_weather_luftfeuchtigkeit,38.8,2025-01-22T11:23:47.146Z
sensor.felix_weather_luftfeuchtigkeit,38.5,2025-01-22T11:24:37.581Z
sensor.felix_weather_luftfeuchtigkeit,38.8,2025-01-22T11:51:54.727Z
sensor.felix_weather_luftfeuchtigkeit,38.6,2025-01-22T12:22:22.383Z
sensor.felix_weather_luftfeuchtigkeit,38.0,2025-01-22T12:33:05.629Z
sensor.felix_weather_luftfeuchtigkeit,37.8,2025-01-22T12:44:58.666Z
sensor.felix_weather_luftfeuchtigkeit,38.5,2025-01-22T13:03:03.260Z
sensor.felix_weather_luftfeuchtigkeit,37.8,2025-01-22T13:20:27.627Z
sensor.felix_weather_luftfeuchtigkeit,37.5,2025-01-22T13:29:40.565Z
sensor.felix_weather_luftfeuchtigkeit,40.3,2025-01-22T13:42:53.932Z
